country,continents,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Nigeria,North America,2003,80.46,1320356267,52836.78,ISO706,774
Mexico,North America,2008,55.21,1052458396,63495.77,ISO675,354
Indonesia,Africa,1955,73.49,1294159596,29038.51,ISO345,31
Egypt,North America,1998,74.19,1254988544,76376.91,ISO688,882
Nigeria,Europe,1955,69.27,471835714,68207.72,ISO576,878
Japan,Africa,1982,57.77,418659669,24274.85,ISO358,635
Brazil,Africa,1950,67.38,934332535,1595.75,ISO192,136
South Africa,Europe,1982,41.81,838033647,24435.92,ISO902,383
Indonesia,South America,1998,74.29,1365058195,23223.53,ISO882,605
China,South America,1971,44.48,74125534,71307.2,ISO632,531
India,South America,1950,57.85,191051101,77402.57,ISO673,290
Saudi Arabia,North America,1976,44.66,620563087,6564.76,ISO438,287
Egypt,Europe,1982,77.67,139282561,38232.29,ISO359,906
Canada,Africa,1950,64.76,526237456,44318.23,ISO336,745
United States,Africa,1992,71.09,511767625,8340.02,ISO240,652
Germany,Africa,2025,70.72,238901370,30822.32,ISO778,810
Mexico,North America,1982,77.87,500746610,26049.51,ISO579,230
France,North America,1950,45.97,795697594,43348.45,ISO678,430
France,Oceania,1960,69.69,850405493,53234.08,ISO449,30
Egypt,South America,1971,65.88,648566781,56575.32,ISO669,335
France,Oceania,1966,41.39,1372581264,11803.65,ISO823,120
Italy,Oceania,1955,49.06,116904904,65222.87,ISO229,92
Mexico,North America,2025,52.04,1345698263,54604.82,ISO636,622
Spain,South America,1950,43.27,1311433994,71236.92,ISO110,736
China,South America,1966,55.96,1298876871,36497.55,ISO356,738
Indonesia,Africa,1982,41.22,373128920,71617.29,ISO915,125
Germany,North America,2003,64.89,1192977069,69396.16,ISO468,897
China,South America,1966,49.52,1378244532,35634.34,ISO493,869
Canada,Oceania,1992,52.92,15486679,31110.32,ISO692,36
Brazil,Europe,2019,80.97,1375509039,74692.15,ISO897,606
Indonesia,Europe,1987,62.63,865375759,57498.01,ISO518,699
Australia,North America,1987,52.11,41695378,74331.38,ISO981,891
Indonesia,Africa,1971,66.93,389465594,63961.01,ISO118,773
South Africa,Africa,2008,49.08,16662494,49134.5,ISO209,401
Spain,South America,2025,43.35,698719690,10152.37,ISO536,528
Germany,North America,1950,40.94,1116453061,24026.97,ISO604,27
Egypt,Europe,2025,82.82,1123908831,77538.55,ISO133,328
India,Oceania,1992,72.61,1242147567,26234.35,ISO387,37
South Africa,South America,1955,76.0,419175500,8367.13,ISO943,250
Japan,Oceania,1976,84.14,689798786,56896.72,ISO354,858
Canada,South America,1998,81.92,507403767,58986.34,ISO737,22
France,Asia,2019,73.16,1243869495,23551.16,ISO820,33
China,Oceania,1971,71.23,997367912,24516.09,ISO233,52
Argentina,North America,1998,55.16,493309687,38042.55,ISO598,942
Egypt,Oceania,2014,44.68,213830117,2721.33,ISO496,915
Mexico,Oceania,2025,65.82,762223672,63356.52,ISO586,183
Russia,South America,1987,65.93,1222333840,26050.01,ISO697,373
United Kingdom,Europe,2003,82.85,783668738,68447.29,ISO686,887
South Africa,Asia,1960,59.92,1157347681,64407.8,ISO746,741
Argentina,Oceania,1976,71.09,131837579,53250.76,ISO912,948
Germany,Europe,1976,65.87,660458519,26665.11,ISO784,398
United States,Africa,1998,47.95,358314117,41789.01,ISO312,593
Italy,Asia,1960,66.64,1250730281,36141.51,ISO932,499
Japan,Asia,2008,64.31,1226198090,27771.67,ISO449,434
Germany,South America,2008,62.23,373599663,68002.77,ISO118,210
Brazil,Oceania,2025,63.1,88498010,39197.06,ISO218,38
Nigeria,Africa,2008,47.38,452104559,66785.12,ISO914,765
Russia,South America,1982,60.86,524294993,9312.26,ISO401,586
United States,North America,2003,67.25,892371034,12140.96,ISO384,416
France,Europe,1966,62.03,209877621,78208.3,ISO326,367
Germany,Europe,1971,61.99,524484214,47433.71,ISO606,313
Mexico,South America,1992,43.49,52274615,41271.8,ISO600,985
Egypt,Europe,1976,48.58,6200148,42329.33,ISO311,282
Brazil,Oceania,1998,54.44,1283837946,18006.23,ISO455,155
China,Europe,2025,58.87,849350066,57777.61,ISO800,230
Brazil,Oceania,2014,66.73,513152993,7697.67,ISO586,246
Canada,North America,1966,78.85,313814199,46292.57,ISO420,13
Mexico,Africa,1987,47.16,123486014,46090.73,ISO762,832
United Kingdom,Asia,1992,40.68,907478133,73220.89,ISO322,395
Saudi Arabia,South America,1998,60.22,462272727,42568.44,ISO739,51
France,South America,1971,59.44,191247442,11827.95,ISO859,627
India,Oceania,1955,64.84,469997973,46247.51,ISO662,207
Mexico,North America,2025,77.49,383510450,8214.88,ISO290,992
Saudi Arabia,North America,2025,76.11,214392250,17099.71,ISO599,897
Italy,Asia,1976,44.5,336455428,3457.58,ISO594,160
China,Africa,2003,82.03,1000474099,41550.19,ISO336,858
Australia,South America,2025,44.97,150400366,7678.08,ISO121,29
Indonesia,Oceania,2008,68.56,427845780,38082.16,ISO721,424
Italy,North America,1987,70.26,1259900763,74702.66,ISO426,995
Indonesia,South America,2014,70.59,412817091,57861.15,ISO644,823
Spain,Oceania,1971,51.94,2330295,7115.52,ISO226,681
Italy,Europe,1950,54.87,60791063,18712.58,ISO464,764
Nigeria,South America,1987,64.69,148503731,54219.33,ISO967,777
France,Africa,1992,48.98,85695612,71681.45,ISO143,267
Russia,Oceania,1950,40.91,659123280,3600.57,ISO618,532
Russia,Africa,1987,65.3,1108294241,65183.64,ISO227,591
Australia,South America,1998,60.94,738116691,45383.3,ISO702,961
Egypt,Europe,2008,69.55,1024133345,44141.21,ISO229,473
Brazil,Africa,1955,46.6,798691178,76667.24,ISO628,257
Egypt,North America,1966,77.84,890203805,60063.92,ISO420,721
Saudi Arabia,Oceania,2014,46.58,305547229,68159.39,ISO285,549
United States,South America,2025,80.11,999924658,28965.65,ISO721,150
Brazil,Europe,2025,60.23,1149932504,44794.76,ISO897,329
Indonesia,North America,1955,64.74,307027960,49617.05,ISO447,341
Japan,South America,1955,80.35,163060141,26405.13,ISO580,743
Canada,Europe,1998,53.5,219931816,46049.6,ISO774,121
Spain,North America,1960,48.18,1164710534,19695.77,ISO686,168
Egypt,Africa,2019,60.06,1098199699,12326.68,ISO810,553
Italy,South America,1987,51.0,958925584,30543.65,ISO460,914
Japan,South America,1966,63.75,321262402,59403.88,ISO386,873
Argentina,Africa,1982,52.39,208959341,73378.78,ISO281,811
South Africa,Asia,2008,78.9,934010663,37159.41,ISO550,652
Saudi Arabia,North America,1998,67.33,1113787225,51783.07,ISO196,824
Indonesia,Africa,1960,40.01,790889417,9139.93,ISO662,761
Italy,South America,1998,76.25,1222036449,72452.64,ISO413,201
Italy,North America,2008,54.86,27851000,45919.73,ISO645,377
Russia,North America,2019,54.41,431744177,62646.72,ISO120,581
Spain,Asia,2025,57.24,305846692,63760.85,ISO795,595
Russia,South America,2019,68.36,1105158037,21261.96,ISO904,567
China,Europe,2014,59.89,168466796,42804.78,ISO675,132
Egypt,Asia,2003,68.29,1079178353,76877.9,ISO596,417
France,Asia,2019,46.61,1077702015,8081.13,ISO502,383
France,Europe,1960,83.66,773007053,54960.94,ISO223,883
Brazil,Europe,1955,72.83,914373001,77018.86,ISO712,996
Italy,Asia,2014,51.26,172805405,24745.59,ISO218,4
Australia,North America,2008,72.59,881094318,69054.39,ISO952,170
India,Africa,1976,65.88,717211815,74758.95,ISO689,19
Saudi Arabia,Africa,1976,44.91,769390670,60019.81,ISO792,660
India,Asia,1950,48.02,482506974,19274.94,ISO810,115
Canada,North America,1982,41.86,1200176860,27386.06,ISO576,371
Spain,Europe,2008,76.42,629062746,3828.93,ISO971,105
Saudi Arabia,Oceania,2019,64.83,606467220,66684.81,ISO801,597
France,Asia,2019,54.25,261319507,68119.28,ISO939,409
South Africa,South America,1966,45.69,411871993,50984.11,ISO202,985
Nigeria,North America,2014,61.78,952200334,28849.7,ISO432,510
Saudi Arabia,South America,2003,63.64,163852055,7068.07,ISO977,614
Russia,South America,2008,71.59,371510256,60491.55,ISO886,674
China,Asia,1960,83.65,507690378,58395.57,ISO558,43
Japan,North America,2014,59.57,1345681976,73095.6,ISO229,670
United Kingdom,South America,2014,58.27,711291847,58712.03,ISO852,551
Italy,North America,1987,56.65,658765992,66466.9,ISO233,384
Japan,Africa,1955,77.21,709876248,59930.41,ISO256,762
Russia,Oceania,1992,47.03,665327867,50824.29,ISO524,519
Italy,South America,2014,55.47,1146913507,34730.35,ISO534,500
Egypt,South America,1987,72.62,503689330,72267.27,ISO488,889
Egypt,North America,1987,40.71,69972111,52426.52,ISO417,968
Italy,Oceania,2014,53.02,836284150,32470.07,ISO769,284
United Kingdom,Africa,1960,68.87,460607349,7594.07,ISO604,354
Indonesia,South America,2014,48.37,1257692157,23965.68,ISO970,337
United Kingdom,Asia,1966,53.62,223436631,43954.41,ISO289,929
Argentina,North America,1955,61.87,716607952,22775.19,ISO711,946
Indonesia,North America,1955,58.99,275878255,18477.59,ISO510,764
China,South America,1966,44.77,854999955,42664.09,ISO151,527
Spain,Africa,1976,82.22,586093845,14415.81,ISO660,286
Mexico,South America,1971,41.99,778735686,64232.4,ISO545,944
France,Europe,2025,73.74,567858762,39265.08,ISO711,731
Japan,South America,1950,43.21,674897995,46335.16,ISO543,322
Spain,Oceania,2014,61.03,498313389,12643.28,ISO481,826
United Kingdom,Oceania,1998,47.89,1051931332,26641.53,ISO862,417
France,Europe,1950,46.35,219037124,33397.08,ISO473,597
Japan,Oceania,2025,45.67,1076895443,64848.81,ISO665,17
Spain,Oceania,1976,60.38,359424117,61842.6,ISO474,59
France,Asia,1960,63.2,1166824953,18615.22,ISO488,406
Argentina,North America,1960,46.0,416279182,49678.15,ISO748,345
Egypt,Oceania,1982,84.07,206369689,20233.05,ISO773,797
Japan,North America,2014,51.6,973640864,79071.53,ISO965,202
Australia,Africa,2014,60.65,936935224,76217.79,ISO903,863
Canada,South America,1950,49.73,635193096,45497.91,ISO578,681
Japan,Asia,1950,62.23,439352002,56213.3,ISO503,968
Nigeria,Europe,2019,74.02,1001143203,64313.0,ISO692,295
Egypt,Africa,2014,63.45,614071791,57958.88,ISO567,661
South Africa,Asia,1998,52.85,268497286,56286.47,ISO831,444
Japan,Asia,1960,51.18,143577813,76725.77,ISO696,81
Canada,Europe,2019,74.15,53753948,48120.03,ISO604,115
Japan,Europe,1987,45.32,425996913,51267.91,ISO182,538
Germany,North America,1950,56.65,485202959,68092.23,ISO418,378
France,South America,1998,46.82,785440559,53921.38,ISO166,119
Mexico,Africa,2014,51.61,549824545,58901.68,ISO513,145
Japan,South America,1966,46.87,1086923209,19499.33,ISO552,995
Canada,Africa,1992,79.9,1001061382,30330.09,ISO845,200
Argentina,Asia,2019,72.94,627782542,12636.81,ISO297,793
Argentina,Oceania,1966,65.24,952395679,40955.47,ISO358,543
Spain,Oceania,1998,50.1,1396103368,37002.46,ISO788,302
China,Europe,1987,62.96,1077087110,79775.86,ISO397,79
Canada,Europe,1982,63.44,1242632762,49285.48,ISO379,533
Argentina,Asia,1960,66.57,1100971554,63129.14,ISO399,103
Mexico,Asia,1982,42.7,1283533127,27387.16,ISO228,482
Saudi Arabia,Africa,2025,83.78,209191745,66692.08,ISO597,976
United Kingdom,Asia,1982,60.94,1225736952,49591.71,ISO982,471
China,Africa,1998,81.69,859224307,56062.39,ISO537,639
China,South America,1960,40.44,1336804026,24260.03,ISO791,880
Indonesia,Europe,1955,51.14,820699576,44342.43,ISO391,295
Spain,Europe,2025,44.68,676093599,51088.92,ISO306,128
Japan,Oceania,1992,74.63,948901020,47538.48,ISO393,522
South Africa,Oceania,2025,54.41,904928322,73300.3,ISO949,26
Indonesia,Europe,1950,77.82,493385159,71963.54,ISO786,165
Brazil,South America,2019,77.46,843471357,77707.74,ISO128,632
Brazil,South America,1982,70.05,567019442,53726.81,ISO278,509
Saudi Arabia,North America,1966,69.96,1052232560,77781.22,ISO140,885
United States,Africa,1955,71.51,525991844,66765.76,ISO569,867
India,Oceania,2025,70.32,640298707,22395.74,ISO291,24
Argentina,Africa,1955,57.41,512785616,34767.42,ISO443,767
Japan,Oceania,1987,70.73,1188174217,19833.0,ISO848,841
Spain,North America,1982,80.38,1379013032,1331.58,ISO915,467
Russia,Europe,2008,54.97,296184277,15855.85,ISO836,486
Nigeria,Africa,1982,82.52,766073669,1320.79,ISO725,505
Japan,Oceania,1971,40.61,858424362,57867.24,ISO377,946
Indonesia,Africa,2019,55.71,118556254,34617.21,ISO454,312
China,Europe,1998,45.94,481920253,25693.4,ISO628,599
United States,Asia,1987,45.7,843566518,61175.95,ISO185,877
Argentina,Oceania,2019,76.69,606803787,66766.46,ISO416,556
Spain,Asia,1955,81.33,1380022014,78048.66,ISO956,206
Canada,North America,1955,75.0,749991887,51719.07,ISO792,419
Saudi Arabia,South America,1971,83.95,1338022357,37460.79,ISO436,643
Italy,Africa,2025,49.73,1008958106,25115.88,ISO962,145
Japan,Oceania,1950,46.34,356930711,18563.14,ISO244,859
France,Africa,1976,63.43,488309131,17821.15,ISO414,618
Germany,North America,1966,77.31,999129140,33325.96,ISO324,110
Saudi Arabia,North America,1976,41.79,230422865,79351.12,ISO522,994
Saudi Arabia,Africa,1982,84.8,466134702,1067.44,ISO153,532
Indonesia,Oceania,2014,67.1,706486927,16579.27,ISO993,540
Indonesia,Europe,1960,84.05,925934979,15883.05,ISO915,579
Indonesia,Europe,2003,56.43,974062560,57652.44,ISO167,972
Brazil,South America,2014,60.61,772701973,28846.29,ISO718,857
Brazil,Africa,1987,73.86,907335678,37123.6,ISO433,890
Italy,Africa,1982,75.67,915651153,12741.31,ISO176,752
Italy,Oceania,2014,50.49,279630170,32994.77,ISO638,691
Saudi Arabia,Africa,1950,81.84,1192092969,9152.79,ISO955,294
Indonesia,Oceania,1976,79.03,826886674,43110.42,ISO254,808
India,Africa,1982,40.82,882672431,8737.13,ISO171,314
United Kingdom,North America,2019,45.79,295316877,63450.16,ISO600,916
Egypt,Asia,2003,62.32,645916055,45761.54,ISO546,671
United Kingdom,Africa,2025,60.74,1257652261,58193.46,ISO791,388
United Kingdom,Asia,1966,71.88,321585269,34062.79,ISO658,56
China,Europe,2019,44.04,568274070,31137.81,ISO853,588
Canada,South America,1955,69.02,360331588,8758.5,ISO458,186
India,Europe,1998,67.74,1348770091,42384.59,ISO376,372
India,Africa,1992,50.51,1174867642,41645.67,ISO982,704
Brazil,Oceania,1982,64.41,1344566243,37980.06,ISO412,16
Japan,Europe,1950,50.0,1279697013,59500.95,ISO204,562
France,North America,1987,46.61,374315799,66767.85,ISO194,963
Spain,Asia,2025,65.79,261890019,60312.38,ISO318,163
Russia,Oceania,1960,83.99,1120474372,12365.39,ISO781,287
China,Oceania,1966,50.66,1109290086,50142.7,ISO977,568
Australia,Africa,2008,55.99,782171653,7345.53,ISO894,290
Saudi Arabia,North America,1971,51.55,314360236,55875.16,ISO227,11
Nigeria,Asia,1950,51.99,729366307,31165.29,ISO299,75
Mexico,North America,2025,58.19,992116524,11467.42,ISO431,895
Australia,Europe,1976,71.58,1285539721,69102.02,ISO646,101
Egypt,Africa,1998,41.75,1057292308,49506.66,ISO965,90
Nigeria,Oceania,1976,83.07,549324007,29023.27,ISO755,845
Argentina,Oceania,1955,42.08,811590694,3427.45,ISO391,104
Russia,Europe,2003,79.66,1300435044,43447.51,ISO165,284
Mexico,Oceania,1998,80.25,282457262,73934.84,ISO830,886
Egypt,South America,1976,63.6,569321438,48114.01,ISO667,292
India,Africa,1987,46.16,1084489070,77760.4,ISO756,752
United Kingdom,Europe,1976,65.43,290915570,11779.64,ISO503,199
Canada,Africa,1966,68.29,329392595,45896.1,ISO824,394
Canada,Asia,2025,78.6,933714477,64051.88,ISO705,612
Nigeria,Africa,1966,64.79,1388655614,42517.72,ISO717,453
Germany,Africa,1992,58.48,448711531,8194.24,ISO695,371
South Africa,Asia,1976,77.72,196326326,47047.99,ISO747,433
Japan,Europe,1987,84.14,1282579240,49327.29,ISO245,99
Spain,Africa,1987,69.03,384115002,58568.03,ISO860,264
France,North America,1982,79.35,178743746,61135.71,ISO629,515
United Kingdom,Africa,1960,66.94,954156221,61891.04,ISO501,124
United Kingdom,Europe,1998,71.04,141023530,53412.11,ISO224,369
United Kingdom,Oceania,1950,70.97,1175755977,18049.08,ISO613,788
Egypt,Asia,1971,71.72,1197985280,32934.62,ISO431,335
Spain,Oceania,2014,54.45,644456048,62314.27,ISO579,55
India,Europe,2025,65.9,132022715,76320.73,ISO811,399
Argentina,South America,1998,66.74,243113740,7236.81,ISO749,321
Indonesia,Oceania,1998,54.18,760621709,43307.4,ISO814,678
Nigeria,Africa,2025,55.74,697331649,25689.26,ISO497,705
Argentina,Africa,1955,74.3,679374502,18806.12,ISO893,280
Indonesia,Asia,2008,66.22,1084584104,40959.04,ISO914,600
Canada,Africa,1998,46.71,991568259,48881.06,ISO129,197
France,North America,2014,77.69,596969505,1772.01,ISO155,696
Canada,North America,1955,79.74,1252563218,62636.32,ISO730,24
Mexico,Oceania,2019,60.98,496034617,65770.69,ISO231,402
Argentina,Europe,1982,49.4,1289246472,77275.36,ISO330,718
Nigeria,Asia,2003,82.64,104061803,15270.85,ISO494,205
Japan,South America,2014,79.7,364110857,47969.65,ISO251,469
Argentina,Oceania,1960,51.0,379436301,34703.4,ISO601,154
India,Europe,2014,44.3,1276875367,27451.4,ISO605,899
Russia,Asia,1987,59.83,1102799215,45685.04,ISO485,162
Germany,Asia,1992,70.44,403173552,62808.26,ISO632,313
China,Oceania,2019,47.89,274665363,2821.17,ISO547,954
Spain,Europe,2014,63.09,784029763,77582.61,ISO679,507
Russia,Europe,1987,59.14,331141669,64980.65,ISO225,29
Russia,Africa,1976,80.07,1289023355,60341.14,ISO654,824
South Africa,South America,1971,59.33,26414769,61070.6,ISO793,69
United States,North America,1960,64.02,191308612,31735.8,ISO588,938
Spain,Africa,1960,82.99,204498719,60378.02,ISO711,266
Germany,Asia,1982,53.49,151700157,31554.85,ISO990,475
Italy,South America,2014,53.0,651259595,71997.84,ISO545,170
Italy,South America,1971,75.98,702033533,15000.57,ISO569,803
Spain,Europe,2008,52.49,150914906,24095.45,ISO448,157
Egypt,South America,2019,77.43,1395146827,44555.67,ISO607,346
Mexico,Oceania,1976,44.3,722034383,26217.67,ISO556,721
South Africa,South America,2019,45.01,784730099,34514.74,ISO851,416
United Kingdom,Asia,1976,80.56,42516313,39901.39,ISO484,668
Indonesia,Oceania,1992,64.34,315891752,68651.91,ISO811,187
China,Oceania,1950,72.35,553633132,42332.19,ISO547,674
United States,Africa,1987,50.14,960373020,29634.33,ISO727,197
France,South America,1998,47.48,143960336,20571.16,ISO214,5
Australia,Europe,2014,77.57,1278208466,33285.4,ISO551,218
Australia,Africa,2014,56.14,13213648,41743.15,ISO753,690
United Kingdom,Europe,1971,60.48,1350008251,59943.07,ISO218,590
Indonesia,South America,2014,41.26,1237678080,10562.85,ISO192,800
France,Africa,1976,57.36,776168634,18507.13,ISO620,642
Egypt,South America,1976,74.67,1227258035,30992.67,ISO684,486
United Kingdom,Asia,1950,76.96,1075102940,29471.47,ISO637,564
France,Africa,1960,71.44,879111760,31948.1,ISO532,972
Russia,Europe,2008,71.15,806757788,63688.18,ISO850,35
Canada,Asia,1976,62.78,572247934,26608.2,ISO973,673
Australia,North America,2019,64.22,51799853,40649.96,ISO244,18
India,Europe,2025,73.42,703037536,50288.66,ISO167,321
United Kingdom,South America,2019,51.13,161424038,19342.11,ISO799,849
India,Europe,2003,50.42,267563282,57776.94,ISO977,246
Japan,North America,2003,82.75,2136045,44221.79,ISO230,20
Indonesia,Europe,1992,41.25,398988631,36295.71,ISO832,537
Russia,Asia,1976,46.28,378846500,64972.94,ISO380,759
Argentina,Oceania,2025,65.66,1026534596,20236.13,ISO888,929
Germany,Europe,2008,73.2,1190149820,70770.9,ISO751,84
Spain,Africa,2014,64.21,1019975796,45322.85,ISO665,659
Australia,North America,1976,55.98,775234993,49124.82,ISO612,439
United Kingdom,Europe,1950,84.01,535469214,70129.66,ISO739,11
Italy,North America,1992,71.67,130599675,65589.03,ISO100,963
Japan,Oceania,1966,77.41,177378743,48523.4,ISO784,682
China,Asia,2025,41.81,308256904,60501.83,ISO531,290
South Africa,Africa,1955,50.62,593374746,35232.24,ISO490,783
Nigeria,South America,1950,56.84,1397085659,44242.84,ISO365,804
South Africa,Europe,1960,48.22,1000781145,5903.54,ISO498,189
Spain,Asia,1960,43.28,1138869475,8098.78,ISO907,527
Germany,North America,1971,50.13,541297607,66524.61,ISO355,796
United States,Oceania,1950,64.01,951347409,5714.06,ISO494,425
China,North America,1982,71.31,842062201,14382.53,ISO273,819
Egypt,Oceania,2014,74.83,614442812,63870.78,ISO144,469
Russia,Oceania,1950,41.93,562025695,1090.53,ISO954,86
Australia,Asia,1966,59.26,239558044,23309.94,ISO240,570
United States,Europe,1976,45.5,541175535,47139.05,ISO638,646
United States,South America,2025,59.4,620289041,48040.54,ISO844,640
Russia,Europe,1950,59.53,1061950854,62395.08,ISO820,486
Australia,Africa,1982,62.42,878907520,40968.17,ISO149,328
United States,Europe,1998,80.18,1047485979,41242.75,ISO160,422
Mexico,Oceania,2025,76.23,1058703200,58299.54,ISO342,54
Canada,Oceania,1982,68.65,1099283859,40391.33,ISO368,30
Egypt,Africa,1960,79.84,127383988,49070.8,ISO239,680
United Kingdom,North America,1966,70.53,1245249587,71924.15,ISO256,984
China,Oceania,1976,76.85,450933304,32714.63,ISO696,915
Brazil,Africa,2019,65.37,363888414,31424.88,ISO695,991
Saudi Arabia,Oceania,2003,63.63,116328261,1280.37,ISO375,796
Nigeria,South America,1982,72.58,1129816300,49460.67,ISO130,548
Brazil,Oceania,2019,40.89,326344134,3351.98,ISO107,65
Egypt,Asia,2014,71.07,455864247,40827.73,ISO891,660
France,Africa,1966,82.05,1384765052,64534.47,ISO814,174
Spain,Europe,1998,72.13,512788387,44443.76,ISO132,289
Germany,Africa,2003,41.66,1197801856,22301.26,ISO909,812
Brazil,North America,1992,57.0,514622661,63107.31,ISO754,120
France,Oceania,1992,76.43,163174244,22307.64,ISO551,7
Mexico,Africa,1992,83.14,1249402098,58909.51,ISO548,69
France,South America,2008,56.66,1023726499,49210.42,ISO961,63
Germany,Africa,1998,77.85,216882668,14429.71,ISO136,908
Nigeria,South America,1976,78.87,63829118,72505.58,ISO758,505
Indonesia,Oceania,1955,45.55,1272582748,16850.85,ISO839,802
Italy,Europe,1955,78.06,1236861868,79177.38,ISO133,860
United States,Oceania,2003,54.59,664882335,1577.53,ISO554,232
Russia,North America,1966,66.7,180799330,21815.19,ISO543,103
Saudi Arabia,Asia,1992,64.25,206093036,16788.96,ISO336,122
Indonesia,Europe,1960,69.84,169071775,2105.48,ISO311,72
Spain,Europe,1976,73.32,1239417018,58857.06,ISO920,667
Indonesia,Asia,1955,59.84,616461721,55780.64,ISO239,795
France,Africa,2025,79.97,110725250,63595.73,ISO801,224
Italy,Oceania,1950,76.43,580160720,21279.19,ISO707,944
Japan,Africa,2008,75.34,1101854748,36102.48,ISO805,226
Indonesia,Africa,1971,60.62,135860352,53069.97,ISO460,680
Germany,Oceania,1987,41.69,742485907,35741.71,ISO403,957
Italy,North America,1998,62.15,284445688,56088.74,ISO395,507
Egypt,Europe,1998,80.43,1084269736,51083.9,ISO251,214
