total_bill,tip,sex,smoker,day,time,size
20.94,4.51,Male,Yes,Sun,Lunch,3
13.87,11.45,Female,No,Fri,Lunch,6
56.13,11.46,Male,No,Fri,Dinner,3
49.45,7.31,Male,Yes,Fri,Lunch,1
39.84,7.95,Female,No,Sun,Dinner,1
52.93,5.93,Female,Yes,Fri,Dinner,4
49.2,4.23,Female,Yes,Sun,Dinner,1
15.26,4.62,Female,Yes,Fri,Lunch,6
54.09,8.4,Female,No,Sat,Dinner,6
34.66,9.28,Male,Yes,Thur,Lunch,6
49.41,9.71,Female,Yes,Sat,Dinner,4
54.29,9.69,Male,No,Thur,Lunch,4
22.49,2.0,Male,No,Sun,Dinner,1
11.05,6.44,Female,No,Sat,Lunch,2
17.54,1.63,Male,No,Fri,Dinner,2
28.49,7.04,Male,Yes,Thur,Lunch,4
49.99,5.86,Male,Yes,Thur,Lunch,1
52.34,10.76,Male,Yes,Sat,Lunch,2
5.38,4.86,Female,Yes,Sun,Lunch,1
33.09,2.29,Male,No,Sat,Dinner,1
27.96,2.57,Female,Yes,Sun,Dinner,1
17.22,9.38,Female,Yes,Sun,Lunch,5
11.59,7.8,Male,No,Thur,Dinner,6
23.57,2.11,Female,Yes,Sat,Lunch,1
56.86,1.93,Female,Yes,Sat,Lunch,5
22.78,8.71,Female,Yes,Sun,Dinner,4
33.53,1.8,Male,Yes,Sat,Lunch,2
43.67,10.04,Female,Yes,Fri,Lunch,6
25.0,8.77,Female,Yes,Fri,Dinner,2
58.45,1.89,Female,No,Sat,Lunch,6
57.93,1.93,Male,No,Sat,Lunch,2
18.85,11.85,Female,Yes,Sun,Lunch,6
32.35,5.12,Male,Yes,Fri,Lunch,2
21.55,5.08,Male,No,Fri,Dinner,2
20.67,9.94,Male,Yes,Thur,Dinner,2
7.03,11.42,Male,Yes,Sun,Dinner,2
38.53,11.85,Male,Yes,Thur,Lunch,4
32.65,9.29,Male,No,Fri,Lunch,1
7.83,5.14,Female,Yes,Sun,Dinner,3
20.33,1.92,Male,No,Sat,Lunch,5
54.95,9.55,Female,Yes,Sun,Lunch,3
18.18,7.14,Female,No,Sat,Lunch,3
12.97,5.67,Male,No,Sat,Lunch,6
31.92,10.97,Female,Yes,Sun,Dinner,1
59.21,2.22,Female,No,Sat,Dinner,6
18.31,6.42,Female,Yes,Thur,Dinner,1
41.97,1.12,Female,No,Fri,Lunch,1
46.89,6.16,Male,Yes,Sat,Dinner,2
18.07,1.62,Female,Yes,Thur,Dinner,4
45.05,2.31,Male,No,Sat,Lunch,2
25.23,2.29,Female,Yes,Fri,Lunch,4
39.78,8.14,Female,Yes,Thur,Dinner,6
39.84,9.21,Male,No,Fri,Dinner,4
34.47,7.42,Female,Yes,Fri,Dinner,6
9.97,11.58,Female,Yes,Thur,Dinner,3
50.94,5.12,Female,No,Thur,Lunch,3
22.64,4.14,Male,No,Thur,Dinner,4
15.26,10.55,Female,Yes,Sun,Dinner,4
7.24,3.46,Male,Yes,Thur,Lunch,6
37.5,11.6,Female,No,Thur,Dinner,2
42.27,1.13,Male,No,Thur,Lunch,6
5.91,11.67,Male,Yes,Thur,Lunch,2
33.17,1.47,Female,No,Sat,Lunch,3
17.46,10.8,Female,Yes,Sun,Dinner,1
40.48,6.8,Male,Yes,Fri,Dinner,4
14.59,11.92,Male,Yes,Thur,Lunch,2
43.0,1.81,Female,Yes,Sat,Dinner,6
26.27,7.09,Male,Yes,Sat,Dinner,3
56.52,11.66,Female,No,Sat,Lunch,2
12.56,6.75,Female,No,Fri,Lunch,6
23.76,7.92,Female,No,Thur,Dinner,4
11.24,8.65,Female,No,Sun,Lunch,4
55.86,6.0,Male,Yes,Sun,Dinner,5
53.25,7.9,Female,Yes,Sat,Dinner,1
19.19,7.43,Male,Yes,Fri,Dinner,5
41.3,10.91,Female,Yes,Fri,Dinner,3
49.95,1.5,Male,No,Fri,Lunch,2
35.54,4.09,Female,Yes,Sun,Lunch,3
34.13,11.45,Male,Yes,Sat,Lunch,6
18.3,10.79,Male,No,Thur,Lunch,4
10.12,6.01,Female,No,Sun,Dinner,5
54.35,7.82,Female,No,Sat,Dinner,5
54.52,4.05,Female,No,Sat,Lunch,5
39.82,3.07,Female,Yes,Thur,Dinner,3
23.65,6.1,Male,Yes,Thur,Dinner,4
24.21,4.89,Female,No,Thur,Dinner,2
44.93,7.42,Male,Yes,Fri,Lunch,6
54.34,1.86,Male,Yes,Thur,Lunch,2
53.79,11.72,Female,Yes,Sat,Lunch,3
47.89,11.85,Male,No,Thur,Dinner,6
40.31,8.68,Male,Yes,Sat,Lunch,5
9.63,6.9,Male,No,Sun,Lunch,1
13.89,4.4,Male,Yes,Fri,Lunch,3
54.42,9.95,Female,Yes,Sun,Lunch,3
38.35,8.53,Female,Yes,Sun,Lunch,4
5.51,2.79,Female,No,Sat,Lunch,2
10.58,11.02,Female,Yes,Sun,Dinner,3
41.49,10.05,Male,No,Sat,Dinner,3
5.28,11.45,Male,No,Thur,Lunch,5
13.84,8.98,Female,No,Thur,Lunch,5
35.18,7.75,Female,Yes,Sat,Dinner,6
43.05,5.6,Female,Yes,Thur,Dinner,1
40.86,11.26,Male,Yes,Fri,Lunch,4
17.33,10.53,Female,Yes,Sun,Lunch,1
44.17,1.5,Female,No,Fri,Lunch,6
18.05,1.29,Female,No,Sun,Lunch,5
22.9,5.14,Male,No,Thur,Dinner,2
46.06,9.92,Male,Yes,Fri,Lunch,5
40.73,11.86,Male,No,Thur,Lunch,4
51.71,2.65,Male,Yes,Sun,Lunch,5
41.17,7.54,Male,No,Sat,Lunch,4
36.26,5.19,Male,Yes,Sat,Dinner,4
10.15,11.67,Male,Yes,Fri,Dinner,4
25.22,10.26,Male,No,Thur,Dinner,6
19.59,10.22,Female,No,Thur,Lunch,4
18.42,6.16,Female,No,Fri,Lunch,4
58.52,5.56,Male,No,Sat,Dinner,2
26.62,4.01,Male,Yes,Sun,Lunch,1
54.06,1.62,Female,No,Fri,Lunch,3
39.71,10.51,Male,No,Sun,Dinner,1
48.71,9.94,Male,No,Sat,Dinner,4
32.65,12.0,Male,Yes,Thur,Dinner,2
36.73,11.96,Female,Yes,Sat,Dinner,5
32.09,7.11,Female,No,Fri,Lunch,2
15.74,9.46,Female,Yes,Thur,Lunch,4
44.73,11.39,Female,No,Fri,Dinner,2
20.44,10.35,Female,Yes,Fri,Lunch,2
6.34,3.72,Male,Yes,Sat,Dinner,4
40.5,5.96,Female,Yes,Fri,Dinner,6
14.74,2.42,Male,Yes,Sat,Lunch,2
56.73,11.49,Male,No,Thur,Dinner,3
57.47,7.67,Female,No,Sat,Lunch,3
55.32,3.52,Female,No,Thur,Lunch,2
25.36,8.39,Male,Yes,Sat,Lunch,6
5.85,7.8,Male,No,Sun,Lunch,5
56.06,4.94,Male,No,Sun,Dinner,4
28.55,2.25,Female,No,Fri,Lunch,3
58.17,8.39,Female,Yes,Sat,Dinner,5
58.0,6.72,Female,Yes,Sat,Dinner,2
51.92,9.5,Female,Yes,Thur,Dinner,5
21.19,6.72,Female,No,Fri,Dinner,1
26.18,10.37,Male,No,Sat,Lunch,3
51.81,7.07,Female,No,Fri,Lunch,2
22.43,7.17,Male,Yes,Sun,Dinner,4
14.32,10.64,Male,Yes,Sat,Dinner,6
35.62,5.44,Male,No,Sat,Lunch,2
56.49,2.47,Female,Yes,Fri,Dinner,4
43.28,1.32,Female,Yes,Sat,Lunch,6
36.35,9.31,Female,Yes,Fri,Dinner,6
10.34,7.82,Male,Yes,Sat,Lunch,2
38.83,8.74,Male,No,Thur,Dinner,5
59.45,3.34,Male,Yes,Fri,Dinner,5
12.7,2.5,Male,Yes,Sat,Lunch,6
33.51,1.16,Male,Yes,Sun,Dinner,5
53.26,4.86,Male,Yes,Sat,Dinner,1
45.74,7.49,Female,No,Sun,Lunch,6
43.34,5.31,Female,No,Sun,Dinner,6
43.64,5.81,Female,Yes,Thur,Lunch,4
24.77,10.95,Female,Yes,Fri,Lunch,5
21.15,4.83,Male,Yes,Sat,Dinner,6
49.51,6.65,Male,Yes,Thur,Dinner,1
49.56,9.62,Female,Yes,Sat,Dinner,4
52.69,5.36,Male,Yes,Sun,Dinner,2
55.23,7.84,Female,No,Fri,Dinner,6
33.12,10.49,Female,Yes,Sat,Dinner,1
32.58,11.44,Female,No,Sat,Dinner,3
48.91,2.62,Male,No,Sun,Lunch,1
40.75,11.19,Female,Yes,Sat,Dinner,1
43.61,6.41,Female,No,Sat,Lunch,4
48.77,3.84,Female,No,Sun,Dinner,2
53.95,6.05,Male,No,Thur,Dinner,3
23.59,11.78,Male,No,Sun,Lunch,5
25.66,6.42,Female,No,Thur,Dinner,5
10.17,4.62,Male,No,Fri,Dinner,1
36.81,7.97,Male,Yes,Thur,Lunch,4
6.98,3.64,Male,No,Thur,Dinner,4
30.61,1.83,Male,No,Fri,Dinner,5
34.85,2.42,Male,No,Thur,Dinner,3
20.76,2.41,Male,Yes,Sun,Lunch,2
37.5,2.67,Male,No,Thur,Dinner,3
6.68,2.53,Male,Yes,Fri,Dinner,6
7.05,8.05,Male,No,Sun,Dinner,6
50.24,3.0,Male,Yes,Fri,Dinner,2
24.81,4.8,Female,Yes,Fri,Lunch,5
11.99,10.86,Female,No,Sat,Lunch,2
33.72,6.21,Male,No,Sat,Dinner,4
47.35,8.34,Female,Yes,Fri,Dinner,6
16.87,2.9,Female,No,Fri,Lunch,1
39.26,3.12,Male,Yes,Fri,Lunch,1
9.69,1.45,Male,Yes,Sat,Dinner,5
